#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1711569291678341150,0.0,0.00174532923847,0.00523598771542,0.362498348552,-9.67881529283,-0.9406036804919999
1711569291680844069,0.0,0.0,0.00523598771542,0.364594653359,-9.68476347094,-0.940973660993
1711569291683346748,0.0,-0.00174532923847,0.00349065847695,0.38678965127899995,-9.71435699136,-0.9212447772840001
1711569291685849667,0.00174532923847,-0.00349065847695,0.00174532923847,0.408986763612,-9.743953331010001,-0.901514014097
1711569291688352346,0.0,-0.00174532923847,0.00349065847695,0.431181761532,-9.77354685143,-0.881785130388
1711569291690855265,-0.00174532923847,-0.00174532923847,0.00523598771542,0.425191882938,-9.761533504680001,-0.892926020576
1711569291693357944,-0.00349065847695,0.0,0.00523598771542,0.395596430347,-9.714673869439999,-0.929920355052
1711569291695860863,-0.00349065847695,-0.00174532923847,0.00349065847695,0.365998158337,-9.6678097701,-0.966918213804
1711569291698363543,0.0,-0.00174532923847,0.0,0.33640270574600006,-9.620950134860001,-1.00391254828
1711569291700866461,0.00523598771542,0.0,0.00174532923847,0.325020570476,-9.62172664582,-0.9904681371520001
1711569291703369141,0.008726646192370001,0.0,0.00349065847695,0.327486618114,-9.65871736039,-0.938681031832
1711569291705872059,0.0069813169539,0.0,0.00523598771542,0.329952900681,-9.69571159889,-0.886888992998
1711569291708374739,0.00174532923847,-0.00174532923847,0.00174532923847,0.332418948319,-9.73270231346,-0.8351018876790001
1711569291710877657,0.0,-0.00349065847695,0.0,0.339262248693,-9.741973258360002,-0.819788070141
1711569291713380337,-0.00349065847695,-0.00523598771542,0.0,0.349125745361,-9.73210977668,-0.829651566808
1711569291715883255,-0.00174532923847,-0.00349065847695,0.00349065847695,0.358990181678,-9.72224535536,-0.839516003125
1711569291718385935,0.0,-0.00349065847695,0.00349065847695,0.368853678345,-9.71238187368,-0.8493794997930001
1711569291720888853,0.00349065847695,-0.00174532923847,0.00174532923847,0.368103278816,-9.70554994727,-0.844079699398
1711569291723391533,0.00349065847695,-0.00174532923847,0.0,0.360705128408,-9.700617852,-0.829283398581
1711569291725894451,0.0,0.0,0.0,0.353306273212,-9.695685286860002,-0.8144856881899999
1711569291728397131,0.0,0.0,0.0,0.345908122804,-9.69075319159,-0.7996893873729999
1711569291730900049,0.0,0.0,-0.00174532923847,0.35897619454199997,-9.69841566396,-0.784892572577
1711569291733402729,0.00174532923847,0.0,-0.00523598771542,0.383634345541,-9.713210532080002,-0.770097674484
1711569291735905647,0.0,0.0,-0.00349065847695,0.408294845605,-9.728006809630001,-0.7553013669509999
1711569291738408566,0.0,0.0,0.0,0.43295534567,-9.74280308719,-0.7405050594179999
1711569291740911484,-0.00174532923847,0.0,0.00174532923847,0.43477258351099995,-9.73475613723,-0.7403937136100001
1711569291743414164,-0.00174532923847,-0.00174532923847,0.00174532923847,0.424909323111,-9.71502964641,-0.747791162656
1711569291745917082,0.0,-0.00174532923847,0.00174532923847,0.41504512308499997,-9.69530127633,-0.7551893164219999
1711569291748419762,0.0,-0.00174532923847,0.0,0.40518186268600004,-9.675574785510001,-0.7625867654690001
1711569291750922680,0.00174532923847,-0.00174532923847,-0.00174532923847,0.402072638273,-9.67104524929,-0.756474158895
1711569291753425360,0.00174532923847,-0.00174532923847,-0.00523598771542,0.402072638273,-9.67351129693,-0.7441439057160001
1711569291755928278,0.0,-0.00174532923847,-0.00523598771542,0.402072638273,-9.6759775795,-0.731812477891
1711569291758430958,-0.00174532923847,-0.00174532923847,-0.00523598771542,0.402072638273,-9.678443627130001,-0.719482224713
1711569291760933876,-0.00349065847695,-0.00174532923847,-0.00349065847695,0.41255323334700006,-9.68615003189,-0.71937898676
1711569291763436556,-0.00174532923847,-0.00174532923847,-0.00349065847695,0.42734812394599997,-9.6960132773,-0.724310609466
1711569291765939474,0.0,0.0,0.0,0.44214442398500003,-9.70587746234,-0.7292427019840001
1711569291768442154,0.0,0.0,0.0,0.45693931458400006,-9.71574070775,-0.73417432469
1711569291770945072,-0.00174532923847,0.0,0.00174532923847,0.450088140258,-9.70936920365,-0.7481271787379999
1711569291773447752,-0.00349065847695,0.0,0.0,0.43529147747599994,-9.69703867007,-0.76538995573
1711569291775950670,-0.00174532923847,0.0,0.0,0.42049340508599997,-9.68470696182,-0.7826543772669999
1711569291778453588,0.0,0.0,-0.00174532923847,0.405695332695,-9.67237525356,-0.799918798803
1711569291780956268,0.00174532923847,0.0,0.0,0.407658822324,-9.6805286916,-0.806007334124
1711569291783459187,0.0,-0.00174532923847,0.00174532923847,0.415056798881,-9.69532461473,-0.8084733213140001
1711569291785961866,-0.00174532923847,-0.00174532923847,0.00349065847695,0.422454070734,-9.71011912847,-0.810939073603
1711569291788464785,-0.00349065847695,-0.00349065847695,0.00174532923847,0.42985204729099996,-9.7249150516,-0.813405060792
1711569291790967464,-0.00523598771542,-0.00523598771542,0.0,0.435330961422,-9.72435778538,-0.823547829683
1711569291793470383,-0.00349065847695,-0.00523598771542,0.0,0.440263652218,-9.71942510208,-0.8358795679180001
1711569291795974016,0.0,-0.00349065847695,0.0,0.445197752624,-9.714491009169999,-0.848214830178
1711569291798475981,0.00174532923847,-0.00174532923847,0.00349065847695,0.450128563943,-9.709560205339999,-0.8605418697130001
1711569291800978661,0.00174532923847,-0.00174532923847,0.0069813169539,0.441218895984,-9.71253766957,-0.870894788665
1711569291803481579,0.0,-0.00349065847695,0.0069813169539,0.428887460665,-9.7174702347,-0.8807599339219999
1711569291805984259,0.0,-0.00349065847695,0.00523598771542,0.416557199992,-9.72240232998,-0.890624139463
1711569291808488369,-0.00349065847695,-0.00523598771542,0.00349065847695,0.404219891442,-9.727337244400001,-0.9004939833040001
1711569291810990095,-0.00523598771542,-0.00349065847695,0.00349065847695,0.40614357050899996,-9.7281961441,-0.904247248342
1711569291813493967,-0.00523598771542,-0.00349065847695,0.00349065847695,0.411077549775,-9.7281961441,-0.9067142342260001
1711569291815996647,-0.00174532923847,-0.00174532923847,0.00174532923847,0.41600917997500003,-9.7281961441,-0.909180045579
1711569291818499565,0.0,-0.00174532923847,0.00174532923847,0.420941279988,-9.7281961441,-0.9116460918379999
1711569291821002245,0.00174532923847,-0.00174532923847,0.00523598771542,0.398657562222,-9.70307432555,-0.9287663227949999
1711569291823505163,0.0,-0.00174532923847,0.00523598771542,0.371531008403,-9.673481770439999,-0.9484947228470001
1711569291826007843,-0.00349065847695,-0.00523598771542,0.00523598771542,0.34440703855899996,-9.6438920342,-0.9682212436450001
1711569291828510761,-0.00349065847695,-0.00523598771542,0.00349065847695,0.31728048474,-9.614299479089999,-0.987949643697
1711569291831013441,0.0,-0.00174532923847,0.00174532923847,0.333167928955,-9.64922696525,-0.956062475467
1711569291833516359,0.00349065847695,0.0,0.00174532923847,0.35536238276,-9.69361603773,-0.9166056753640001
1711569291836019039,0.00523598771542,0.0,0.00349065847695,0.37755472240500004,-9.738000881880001,-0.877152633766
1711569291838521957,0.0,0.0,0.00349065847695,0.39974917621100003,-9.782389954369998,-0.837695833663
1711569291841024637,-0.00174532923847,-0.00349065847695,0.0,0.397657332889,-9.760544889010001,-0.8446034952439999
1711569291843526602,-0.00349065847695,-0.00174532923847,0.0,0.39272711212899997,-9.730963369680001,-0.8569290433969999
1711569291846030474,0.0,0.0,0.0,0.38779313286300005,-9.701359299149999,-0.8692639878139999
1711569291848533154,0.00174532923847,0.0,0.0,0.38286150266400004,-9.67176932312,-0.881593059566
1711569291851036072,0.00523598771542,0.00174532923847,0.00174532923847,0.35980963645099995,-9.6716213126,-0.8690086471170001
1711569291853538752,0.00523598771542,0.00174532923847,0.00349065847695,0.33515147796,-9.67408712396,-0.8542137640109999
1711569291856041670,0.00349065847695,0.0,0.00174532923847,0.310490970401,-9.67655317022,-0.839417471467
1711569291858544350,0.00174532923847,0.0,0.0,0.285832811909,-9.67901898157,-0.824622588362
1711569291861047268,0.00174532923847,0.0,-0.00349065847695,0.326189780912,-9.697739368739999,-0.805182170186
1711569291863549948,0.00174532923847,0.00174532923847,-0.0069813169539,0.370574460203,-9.71746585957,-0.785455634401
1711569291866052866,0.00174532923847,0.0,-0.0069813169539,0.414963367814,-9.73719422964,-0.76572721936
1711569291868555546,0.0,0.0,-0.00523598771542,0.459348047104,-9.75692072046,-0.746000683574
1711569291871058702,-0.00174532923847,-0.00174532923847,-0.00174532923847,0.446634598883,-9.73857883632,-0.75720364252
1711569291873561382,-0.00349065847695,-0.00174532923847,0.0,0.431837936101,-9.71884998259,-0.76953420608
1711569291876064301,-0.00349065847695,0.0,0.0,0.417039863711,-9.699119249389998,-0.781865944315
1711569291878566980,-0.00174532923847,0.0,0.0,0.402243200929,-9.679390395650001,-0.794196507875
1711569291881069899,0.0,0.0,0.0,0.402072638273,-9.68160083531,-0.7772736206440001
1711569291883572578,0.0,0.0,0.0,0.402072638273,-9.684066882949999,-0.7600112572
1711569291886075497,0.00174532923847,0.0,-0.00174532923847,0.402072638273,-9.686533165510001,-0.742747249252
1711569291888578176,0.0,-0.00174532923847,-0.00174532923847,0.4022502277,-9.68896961212,-0.725662495179
1711569291891081095,0.0,-0.00349065847695,-0.00349065847695,0.41704652773900003,-9.68896961212,-0.72319644892
1711569291893583775,0.0,-0.00174532923847,-0.00523598771542,0.43184141833800005,-9.68896961212,-0.720730637567
1711569291896086693,0.0,0.0,-0.00349065847695,0.446637718377,-9.68896961212,-0.7182645913079999
1711569291898589373,0.0,0.0,-0.00174532923847,0.46047912301700006,-9.6888829317,-0.716665585228
1711569291901092291,0.0,0.0,0.0,0.448148876732,-9.68641688544,-0.7388600315389999
1711569291903594971,0.0,-0.00174532923847,0.0,0.43581980498000006,-9.683951074089999,-0.761052363691
1711569291906097889,-0.00349065847695,-0.00523598771542,0.0,0.423489558694,-9.68148502783,-0.783246810002
1711569291908600569,-0.00349065847695,-0.0069813169539,0.0,0.41231063078900004,-9.68016941412,-0.803713946392
1711569291911103487,0.0,-0.00523598771542,0.00174532923847,0.41970948598499996,-9.69743339208,-0.796315083701
1711569291913606167,0.00174532923847,-0.00174532923847,0.00174532923847,0.42710763639300003,-9.71469572555,-0.788916925798
1711569291916109085,0.00174532923847,0.0,0.00349065847695,0.434506491589,-9.73195970352,-0.781518063108
1711569291918612003,0.0,0.0,0.00174532923847,0.440895142026,-9.74619306121,-0.7767457577410001
1711569291921114683,-0.00349065847695,0.0,0.0,0.435962921099,-9.72646420748,-0.801406869872
1711569291923617601,-0.00349065847695,0.00174532923847,0.0,0.431030230302,-9.70673347428,-0.826070331351
1711569291926120281,-0.00349065847695,0.0,0.0,0.426098009375,-9.687004620549999,-0.8507314434819999
1711569291928623199,0.0,0.0,0.0,0.421946229735,-9.671438705149999,-0.872531531848
1711569291931125879,0.0,-0.00174532923847,0.0,0.424412225792,-9.691166613650001,-0.8700655432850001
1711569291933628798,0.0,-0.00523598771542,0.00174532923847,0.426878456772,-9.71089640154,-0.8675993197990001
1711569291936131477,0.0,-0.00523598771542,0.00174532923847,0.42934445282899997,-9.73062431004,-0.865133331237
1711569291938634634,-0.00174532923847,-0.00523598771542,0.00349065847695,0.430219493344,-9.74589975917,-0.865213123681
1711569291941137314,-0.00349065847695,-0.00349065847695,0.00349065847695,0.420356934189,-9.73110595415,-0.882472592836
1711569291943640232,-0.00174532923847,-0.00174532923847,0.00349065847695,0.41049343547399997,-9.7163107398,-0.89973370622
1711569291946142912,0.0,-0.00349065847695,0.00349065847695,0.40063087631899996,-9.70151693479,-0.9169931753749999
1711569291948645830,0.0,-0.00349065847695,0.00523598771542,0.39151664121299995,-9.68934427868,-0.931631743908
1711569291951148510,0.0,-0.00349065847695,0.0069813169539,0.386585129142,-9.69181003097,-0.931631743908
1711569291953651428,0.0,-0.00349065847695,0.0069813169539,0.38165314726899996,-9.694276018160002,-0.931631743908
1711569291956154108,0.0,-0.00349065847695,0.0069813169539,0.37672163519699997,-9.69674177045,-0.931631743908
1711569291958657026,-0.00349065847695,-0.00523598771542,0.00523598771542,0.373947281894,-9.69877624512,-0.930768674892
1711569291961159706,-0.00174532923847,-0.00523598771542,0.00349065847695,0.38134490814099997,-9.69877624512,-0.925836919065
1711569291963662624,0.0,-0.00349065847695,0.00174532923847,0.388743239126,-9.69877624512,-0.920904693412
1711569291966165304,0.0,-0.00174532923847,0.0,0.396140865374,-9.69877624512,-0.9159729375839999
1711569291968668222,0.0,-0.00523598771542,0.00174532923847,0.39816200604699997,-9.69877624512,-0.910551930484
1711569291971170902,0.0,-0.00523598771542,0.00174532923847,0.37843595776199995,-9.69877624512,-0.9031546586310001
1711569291973673820,-0.00174532923847,-0.0069813169539,0.00349065847695,0.35870803027,-9.69877624512,-0.8957566820739999
1711569291976176500,-0.00174532923847,-0.00523598771542,0.00174532923847,0.338981981985,-9.69877624512,-0.8883594102210001
1711569291978679419,-0.00174532923847,0.0,0.00174532923847,0.32525651871,-9.699321932430001,-0.880961394451
1711569291981182337,0.0,0.0,0.0,0.332654664983,-9.70178797869,-0.8735632406839999
1711569291983685017,0.0,0.0,0.0,0.34005210653499995,-9.70425379005,-0.866165791638
1711569291986187935,0.0,0.0,0.0,0.347450252808,-9.70671983631,-0.8587676378720001
1711569291988690615,0.0,-0.00174532923847,0.0,0.353642155267,-9.70918564766,-0.8477535678810001
1711569291991194487,0.0,-0.00349065847695,-0.00174532923847,0.356109148648,-9.71165263354,-0.825550664932
1711569291993696213,0.0,-0.00174532923847,0.0,0.35857402786700004,-9.71411750527,-0.803366789419
1711569291996199131,0.00349065847695,-0.00174532923847,0.0,0.36104008162100004,-9.71658355153,-0.781172343108
1711569291998701811,0.00349065847695,-0.00174532923847,0.0,0.367465017138,-9.71772965933,-0.7649186849590001
1711569292001205921,0.00174532923847,-0.00349065847695,-0.00349065847695,0.384735592665,-9.71526243854,-0.7649186849590001
1711569292003707409,0.0,-0.00174532923847,-0.00523598771542,0.40198808037600003,-9.712797801719999,-0.7649186849590001
1711569292006210566,0.0,0.0,-0.00349065847695,0.41925207851499996,-9.71033152055,-0.7649186849590001
1711569292008713245,0.0,0.0,-0.00174532923847,0.43005839428099996,-9.70714867771,-0.7642015847570001
1711569292011216164,0.0,0.0,-0.00174532923847,0.42512676679399997,-9.70221705771,-0.7617357747600001
1711569292013719797,0.0,0.0,-0.00174532923847,0.420193730001,-9.69728402842,-0.7592692601119999
1711569292016221762,0.00174532923847,0.0,-0.00174532923847,0.41526398158600003,-9.69235428749,-0.7568043896500001
1711569292018724442,0.00174532923847,0.0,-0.00174532923847,0.411879301071,-9.686649455269999,-0.753565276029
1711569292021228313,0.0,0.0,0.0,0.411879301071,-9.67924778842,-0.748630816469
1711569292023731232,0.0,-0.00174532923847,0.0,0.411879301071,-9.67184894072,-0.743698236345
1711569292026232958,-0.00174532923847,-0.00174532923847,0.0,0.411879301071,-9.66445361695,-0.738768005516
1711569292028736830,-0.00349065847695,0.0,-0.00174532923847,0.416041945347,-9.66704246372,-0.7338336706820001
1711569292031239510,0.0,0.0,-0.00349065847695,0.428371312434,-9.6892352975,-0.728901929842
1711569292033742428,0.0,0.0,-0.00349065847695,0.440701854083,-9.71143024549,-0.7239697191779999
1711569292036245108,0.0,0.0,-0.00174532923847,0.45303122117100003,-9.73362307927,-0.719037978338
1711569292038748026,-0.00174532923847,-0.00174532923847,0.0,0.455573183631,-9.74247007619,-0.7247843610439999
1711569292041250706,-0.00349065847695,-0.00174532923847,0.0,0.44077722977300005,-9.72767414481,-0.749444276646
1711569292043753624,-0.00349065847695,-0.00174532923847,0.0,0.425979866375,-9.7128768039,-0.7741065414820001
1711569292046256304,0.0,0.0,0.0,0.411183912517,-9.69808087252,-0.798766457084
1711569292048759222,0.0,0.00174532923847,0.00174532923847,0.402072638273,-9.6927608774,-0.812056276905
1711569292051261902,0.00174532923847,0.0,0.00349065847695,0.402072638273,-9.70262624963,-0.807123590789
1711569292053763866,0.0,0.0,0.00349065847695,0.402072638273,-9.712488802380001,-0.8021923144149999
1711569292056267500,0.0,-0.00349065847695,0.00349065847695,0.402072638273,-9.72235793392,-0.797257748643
1711569292058770418,-0.00174532923847,-0.00349065847695,0.00174532923847,0.407107292298,-9.7281961441,-0.8034010165109999
1711569292061273098,-0.00349065847695,-0.00349065847695,0.0,0.419437848363,-9.7281961441,-0.825596006936
1711569292063776016,-0.00349065847695,-0.00523598771542,0.0,0.431769579103,-9.7281961441,-0.847793111774
1711569292066278696,-0.00349065847695,-0.00349065847695,0.00174532923847,0.444100135168,-9.7281961441,-0.8699881022
1711569292068781853,-0.00349065847695,-0.00174532923847,0.00174532923847,0.446844379798,-9.725000014319999,-0.884729219389
1711569292071284533,-0.00349065847695,0.0,0.00349065847695,0.436980410559,-9.71760204863,-0.889661211502
1711569292073787451,-0.00174532923847,0.0,0.00349065847695,0.42711550162699996,-9.710203378169998,-0.894593673463
1711569292076290369,0.0,0.0,0.00349065847695,0.417250592694,-9.70280470771,-0.8995261354240001
1711569292078793049,0.0,0.0,0.00349065847695,0.411879301071,-9.705515574189999,-0.898842113954
1711569292081295967,0.00174532923847,-0.00174532923847,0.00523598771542,0.411879301071,-9.720313624089998,-0.891443074011
1711569292083798647,0.0,-0.00349065847695,0.00349065847695,0.411879301071,-9.735110264389998,-0.884044738873
1711569292086301565,0.0,-0.00523598771542,0.00349065847695,0.411879301071,-9.749908314299999,-0.8766456989299999
1711569292088804245,-0.00349065847695,-0.00349065847695,0.00349065847695,0.40124617059699996,-9.741075645830001,-0.8881507885780001
1711569292091307163,-0.0069813169539,-0.00174532923847,0.00349065847695,0.37904959002,-9.7065476899,-0.920212506917
1711569292093809843,-0.0069813169539,0.0,0.00349065847695,0.356855123806,-9.672023022969999,-0.952271171177
1711569292096312761,-0.00174532923847,0.0,0.00174532923847,0.334658543229,-9.63749506703,-0.984332889516
1711569292098815441,0.00349065847695,0.0,0.0,0.333535345055,-9.64015505147,-0.975488509592
1711569292101318359,0.008726646192370001,-0.00174532923847,0.00174532923847,0.35326563556999996,-9.67961581238,-0.926162783305
1711569292103821039,0.0104719754308,0.0,0.00349065847695,0.372994046651,-9.7190728144,-0.8768417556010001
1711569292106323957,0.00523598771542,-0.00174532923847,0.00523598771542,0.392724337166,-9.75853357531,-0.827516029314
1711569292108826637,0.0,-0.00349065847695,0.00349065847695,0.39688258328599996,-9.765552530599999,-0.819715441508
1711569292111329556,-0.00349065847695,-0.00523598771542,0.0,0.387017438028,-9.74335574766,-0.849310877281
1711569292113832235,-0.00349065847695,-0.00349065847695,0.0,0.37715323248800003,-9.7211610791,-0.878903493903
1711569292116335154,0.0,0.0,0.0,0.36728808723000006,-9.69896429615,-0.908498929675
1711569292118837833,0.00349065847695,0.0,0.0,0.35606817600900004,-9.68625846879,-0.9123360331839999
1711569292121340752,0.00349065847695,0.0,0.0,0.343736445269,-9.68132578549,-0.895071611647
1711569292123843670,0.00174532923847,-0.00349065847695,0.0,0.33140471453000003,-9.67639310219,-0.877807190111
1711569292126346350,0.00174532923847,-0.00523598771542,0.0,0.31907415846500004,-9.67146088876,-0.860544413118
1711569292128849268,0.00174532923847,-0.00349065847695,0.0,0.332196617593,-9.683497864580001,-0.8319663953540001
1711569292131351948,0.00523598771542,0.0,-0.00174532923847,0.364257593516,-9.708160353230001,-0.794972962172
1711569292133854866,0.00523598771542,0.00174532923847,-0.00349065847695,0.396321623739,-9.73282519136,-0.7579760048
1711569292136357784,0.00174532923847,0.00174532923847,-0.00349065847695,0.428385653962,-9.757490029489999,-0.7209790474269999
1711569292138860703,-0.00174532923847,0.0,-0.00174532923847,0.43098695161000006,-9.74974532591,-0.7208105951279999
1711569292141363382,-0.00523598771542,0.0,-0.00174532923847,0.413722520223,-9.72014896937,-0.7454740706790001
1711569292143866301,-0.00349065847695,-0.00174532923847,-0.00349065847695,0.39645644413500003,-9.69054979332,-0.770139895804
1711569292146368980,0.0,-0.00174532923847,-0.00349065847695,0.379192012748,-9.66095343678,-0.794803371355
1711569292148871899,0.00174532923847,0.0,-0.00349065847695,0.37571746273699996,-9.65740502614,-0.791886144325
1711569292151374578,0.00174532923847,0.0,-0.00174532923847,0.38065015634800003,-9.66973674143,-0.7721553698800001
1711569292153877497,0.00174532923847,0.0,-0.00174532923847,0.385583319874,-9.6820696315,-0.752422715777
1711569292156380177,0.0,-0.00174532923847,-0.00174532923847,0.390516013485,-9.694401346789999,-0.732691941332
1711569292158883095,-0.00174532923847,-0.00174532923847,0.0,0.404998481398,-9.703550925770001,-0.720917403047
1711569292161385775,0.0,0.0,0.0,0.42472879061999996,-9.710949777669999,-0.713518536152
1711569292163888693,0.0,0.0,0.0,0.44446097945600005,-9.71834933443,-0.706118964401
1711569292166391373,0.0,0.0,0.0,0.46419128867799997,-9.725748186339999,-0.698720097506
1711569292168894291,0.0,0.0,0.0,0.459166544535,-9.71499314541,-0.71607666291
1711569292171397209,-0.00523598771542,-0.00349065847695,0.0,0.44190253658699996,-9.69526288488,-0.745672098682
1711569292173899889,-0.00523598771542,-0.00523598771542,0.0,0.42464017314400004,-9.675534503769999,-0.775264715305
1711569292176402807,-0.00349065847695,-0.00349065847695,0.0,0.40737616519599995,-9.655804243239999,-0.804860151077
1711569292178905487,0.0,0.0,0.00174532923847,0.403781209438,-9.66682873987,-0.8054090692929999
1711569292181408405,0.00174532923847,0.0,0.00349065847695,0.406247735854,-9.691493929069999,-0.793076459703
1711569292183911085,0.0,0.0,0.00349065847695,0.408714027317,-9.71615676875,-0.7807450248710001
1711569292186414003,-0.00174532923847,-0.00174532923847,0.00349065847695,0.411180553733,-9.740821957949999,-0.768412415281
1711569292188916683,-0.00349065847695,-0.00349065847695,0.00174532923847,0.41718154160300003,-9.740739763210001,-0.782592834389
1711569292191419601,-0.00349065847695,-0.00174532923847,0.0,0.424580574051,-9.73087439661,-0.807256295868
1711569292193923235,-0.00174532923847,0.0,0.0,0.43198172091000003,-9.72100621079,-0.8319268053929999
1711569292196425200,0.0,0.0,0.0,0.439377934142,-9.71114460314,-0.8565808694779999
1711569292198927879,0.00174532923847,0.0,0.00174532923847,0.433996866809,-9.70858287811,-0.866636369707
1711569292201430798,0.00174532923847,0.0,0.00349065847695,0.42413195787600005,-9.70858287811,-0.871568816679
1711569292203933477,0.0,-0.00174532923847,0.00523598771542,0.41426798863799996,-9.70858287811,-0.876500793804
1711569292206436634,-0.00174532923847,-0.00174532923847,0.00523598771542,0.40440214001100006,-9.70858287811,-0.8814337106219999
1711569292208939314,-0.00174532923847,-0.00174532923847,0.00523598771542,0.405840052524,-9.71611769517,-0.88824958396
